OBJECTID,BdType,BdVal,PctNum,BdName,DistrictFullName
194,P,0847,847,TRAMONTO,Tramonto Voting Precinct
195,P,0728,728,SAN VICTOR,San Victor Voting Precinct
196,P,0213,213,DESERT HILLS,Desert Hills Voting Precinct
197,P,0858,858,TWILIGHT,Twilight Voting Precinct
198,P,0416,416,KALER,Kaler Voting Precinct
199,P,0186,186,CROCUS,Crocus Voting Precinct
200,P,0067,67,BLUE HORIZONS,Blue Horizons Voting Precinct
201,P,0450,450,LILAC,Lilac Voting Precinct
202,P,0370,370,HIGLEY,Higley Voting Precinct
203,P,0668,668,QUEEN CREEK,Queen Creek Voting Precinct
204,P,0428,428,LAKE PLEASANT,Lake Pleasant Voting Precinct
205,P,0289,289,FOUNTAIN HILLS,Fountain Hills Voting Precinct
206,P,0626,626,PEBBLE CREEK,Pebble Creek Voting Precinct
207,P,0798,798,SUN DEVIL,Sun Devil Voting Precinct
208,P,0816,816,SUNSET HILLS,Sunset Hills Voting Precinct
209,P,0355,355,HARVEST,Harvest Voting Precinct
210,P,0432,432,LANE,Lane Voting Precinct
211,P,0028,28,ARBOLEDA,Arboleda Voting Precinct
212,P,0869,869,VERMONT,Vermont Voting Precinct
213,P,0806,806,SUNDANCE WEST,Sundance West Voting Precinct
214,P,0490,490,MARIGOLD,Marigold Voting Precinct
215,P,0803,803,SUNBURST,Sunburst Voting Precinct
216,P,0199,199,DC RANCH,Dc Ranch Voting Precinct
217,P,0362,362,HERITAGE,Heritage Voting Precinct
218,P,0196,196,DANBURY,Danbury Voting Precinct
219,P,0521,521,MIRADA,Mirada Voting Precinct
220,P,0664,664,PUEBLO GRANDE,Pueblo Grande Voting Precinct
221,P,0749,749,SHAW BUTTE,Shaw Butte Voting Precinct
222,P,0465,465,LONGHORN,Longhorn Voting Precinct
223,P,0906,906,WHITTON,Whitton Voting Precinct
224,P,0358,358,HATCHER,Hatcher Voting Precinct
225,P,0512,512,MESA VISTA,Mesa Vista Voting Precinct
226,P,0315,315,GILBERT,Gilbert Voting Precinct
227,P,0713,713,RUSSET,Russet Voting Precinct
228,P,0036,36,ASANTE,Asante Voting Precinct
229,P,0477,477,MADISON,Madison Voting Precinct
230,P,0774,774,SOUTH MTN PARK NE,South Mtn Park Ne Voting Precinct
231,P,0503,503,MCDOWELL,Mcdowell Voting Precinct
232,P,0725,725,SAN MONTEGO,San Montego Voting Precinct
233,P,0924,924,WITTMANN,Wittmann Voting Precinct
234,P,0642,642,PIMA,Pima Voting Precinct
235,P,0281,281,FESTIVAL,Festival Voting Precinct
236,P,0466,466,LONGMORE,Longmore Voting Precinct
237,P,0404,404,JOHN CABOT,John Cabot Voting Precinct
238,P,0525,525,MOHAVE,Mohave Voting Precinct
239,P,0100,100,CANTERBURY,Canterbury Voting Precinct
240,P,0438,438,LAS SENDAS,Las Sendas Voting Precinct
241,P,0243,243,DURANGO,Durango Voting Precinct
242,P,0856,856,TURNEY,Turney Voting Precinct
243,P,0761,761,SILVERADO,Silverado Voting Precinct
244,P,0150,150,COLTER,Colter Voting Precinct
245,P,0045,45,AVONDALE,Avondale Voting Precinct
246,P,0692,692,RIO VERDE,Rio Verde Voting Precinct
247,P,0495,495,MARTIN,Martin Voting Precinct
248,P,0400,400,JANICE,Janice Voting Precinct
249,P,0318,318,GLENCROFT,Glencroft Voting Precinct
250,P,0898,898,WESTRIDGE,Westridge Voting Precinct
251,P,0820,820,SURPRISE,Surprise Voting Precinct
252,P,0502,502,MCDONALD,Mcdonald Voting Precinct
253,P,0112,112,CARVER,Carver Voting Precinct
254,P,0066,66,BLOOM,Bloom Voting Precinct
255,P,0666,666,PYRAMID PEAK,Pyramid Peak Voting Precinct
256,P,0105,105,CARDINAL,Cardinal Voting Precinct
257,P,0702,702,ROESER,Roeser Voting Precinct
258,P,0676,676,RED MOUNTAIN,Red Mountain Voting Precinct
259,P,0758,758,SIESTA,Siesta Voting Precinct
260,P,0202,202,DEERVIEW,Deerview Voting Precinct
261,P,0451,451,LIME,Lime Voting Precinct
262,P,0460,460,LONE BUTTE,Lone Butte Voting Precinct
263,P,0195,195,DALLAS,Dallas Voting Precinct
264,P,0094,94,CAMBRIDGE,Cambridge Voting Precinct
265,P,0479,479,MADISON PARK,Madison Park Voting Precinct
266,P,0612,612,PALO VERDE,Palo Verde Voting Precinct
267,P,0234,234,DOVE VALLEY,Dove Valley Voting Precinct
268,P,0174,174,COTTONWOOD COUNTRY CLUB,Cottonwood Country Club Voting Precinct
269,P,0437,437,LAS COLINAS,Las Colinas Voting Precinct
270,P,0694,694,RIVERSIDE,Riverside Voting Precinct
271,P,0510,510,MESA GRAND,Mesa Grand Voting Precinct
272,P,0625,625,PEAK VIEW,Peak View Voting Precinct
273,P,0030,30,ARCADIA,Arcadia Voting Precinct
274,P,0137,137,CLEARWATER,Clearwater Voting Precinct
275,P,0506,506,MCQUEEN,Mcqueen Voting Precinct
276,P,0682,682,REFLECTION,Reflection Voting Precinct
277,P,0248,248,EASTMARK,Eastmark Voting Precinct
278,P,0851,851,TRILOGY,Trilogy Voting Precinct
279,P,0732,732,SANTA MARIA,Santa Maria Voting Precinct
280,P,0285,285,FLYNN,Flynn Voting Precinct
281,P,0191,191,CULVER,Culver Voting Precinct
282,P,0566,566,NVP 2,Nvp 2 Voting Precinct
283,P,0188,188,CROSSROADS PARK,Crossroads Park Voting Precinct
284,P,0082,82,BUFFALO RIDGE,Buffalo Ridge Voting Precinct
285,P,0621,621,PARKWOOD,Parkwood Voting Precinct
286,P,0821,821,SURPRISE FARMS,Surprise Farms Voting Precinct
287,P,0536,536,MOUNTAIN GATE,Mountain Gate Voting Precinct
288,P,0853,853,TULANE,Tulane Voting Precinct
289,P,0329,329,GRAND,Grand Voting Precinct
290,P,0180,180,COYOTE LAKES,Coyote Lakes Voting Precinct
291,P,0867,867,VELERO,Velero Voting Precinct
292,P,0310,310,GERONIMO,Geronimo Voting Precinct
293,P,0860,860,UNO,Uno Voting Precinct
294,P,0405,405,JOMAX,Jomax Voting Precinct
295,P,0106,106,CAREFREE,Carefree Voting Precinct
296,P,0098,98,CAMPBELL PARK,Campbell Park Voting Precinct
297,P,0163,163,CORDES,Cordes Voting Precinct
